Topic: topic1, Key: 0, SepalLengthCm: 5.1, SepalWidthCm: 3.5, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 22, SepalLengthCm: 4.6, SepalWidthCm: 3.6, PetalLengthCm: 1.0, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 23, SepalLengthCm: 5.1, SepalWidthCm: 3.3, PetalLengthCm: 1.7, PetalWidthCm: 0.5, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 24, SepalLengthCm: 4.8, SepalWidthCm: 3.4, PetalLengthCm: 1.9, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 25, SepalLengthCm: 5.0, SepalWidthCm: 3.0, PetalLengthCm: 1.6, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 26, SepalLengthCm: 5.0, SepalWidthCm: 3.4, PetalLengthCm: 1.6, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 27, SepalLengthCm: 5.2, SepalWidthCm: 3.5, PetalLengthCm: 1.5, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 28, SepalLengthCm: 5.2, SepalWidthCm: 3.4, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 29, SepalLengthCm: 4.7, SepalWidthCm: 3.2, PetalLengthCm: 1.6, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 30, SepalLengthCm: 4.8, SepalWidthCm: 3.1, PetalLengthCm: 1.6, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 31, SepalLengthCm: 5.4, SepalWidthCm: 3.4, PetalLengthCm: 1.5, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 32, SepalLengthCm: 5.2, SepalWidthCm: 4.1, PetalLengthCm: 1.5, PetalWidthCm: 0.1, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 33, SepalLengthCm: 5.5, SepalWidthCm: 4.2, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 34, SepalLengthCm: 4.9, SepalWidthCm: 3.1, PetalLengthCm: 1.5, PetalWidthCm: 0.1, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 35, SepalLengthCm: 5.0, SepalWidthCm: 3.2, PetalLengthCm: 1.2, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 36, SepalLengthCm: 5.5, SepalWidthCm: 3.5, PetalLengthCm: 1.3, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 37, SepalLengthCm: 4.9, SepalWidthCm: 3.1, PetalLengthCm: 1.5, PetalWidthCm: 0.1, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 38, SepalLengthCm: 4.4, SepalWidthCm: 3.0, PetalLengthCm: 1.3, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 39, SepalLengthCm: 5.1, SepalWidthCm: 3.4, PetalLengthCm: 1.5, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 40, SepalLengthCm: 5.0, SepalWidthCm: 3.5, PetalLengthCm: 1.3, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 41, SepalLengthCm: 4.5, SepalWidthCm: 2.3, PetalLengthCm: 1.3, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 42, SepalLengthCm: 4.4, SepalWidthCm: 3.2, PetalLengthCm: 1.3, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 43, SepalLengthCm: 5.0, SepalWidthCm: 3.5, PetalLengthCm: 1.6, PetalWidthCm: 0.6, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 44, SepalLengthCm: 5.1, SepalWidthCm: 3.8, PetalLengthCm: 1.9, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 45, SepalLengthCm: 4.8, SepalWidthCm: 3.0, PetalLengthCm: 1.4, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 46, SepalLengthCm: 5.1, SepalWidthCm: 3.8, PetalLengthCm: 1.6, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 47, SepalLengthCm: 4.6, SepalWidthCm: 3.2, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 48, SepalLengthCm: 5.3, SepalWidthCm: 3.7, PetalLengthCm: 1.5, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 49, SepalLengthCm: 5.0, SepalWidthCm: 3.3, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
